F21	I	LIGHTING
G06	I	COMPUTING; CALCULATING OR COUNTING
G08C	I	TRANSMISSION SYSTEMS FOR MEASURED VALUES, CONTROL OR SIMILAR SIGNALS
G09F	I	DISPLAYING; ADVERTISING; SIGNS; LABELS OR NAME-PLATES; SEALS
G09G	I	ARRANGEMENTS OR CIRCUITS FOR CONTROL OF INDICATING DEVICES USING STATIC MEANS TO PRESENT VARIABLE INFORMATION
G10L	I	SPEECH ANALYSIS OR SYNTHESIS; SPEECH RECOGNITION; SPEECH OR VOICE PROCESSING; SPEECH OR AUDIO CODING OR DECODING
G10J	I	-
G11B	I	INFORMATION STORAGE BASED ON RELATIVE MOVEMENT BETWEEN RECORD CARRIER AND TRANSDUCER
G11C	I	STATIC STORES
H	I	ELECTRICITY
A61	II	MEDICAL OR VETERINARY SCIENCE; HYGIENE
G01	II	MEASURING; TESTING
G02	II	OPTICS
G03	II	PHOTOGRAPHY; CINEMATOGRAPHY; ANALOGOUS TECHNIQUES USING WAVES OTHER THAN OPTICAL WAVES; ELECTROGRAPHY; HOLOGRAPHY
G04	II	HOROLOGY
G05	II	CONTROLLING; REGULATING
G07	II	CHECKING-DEVICES
G08B	II	SIGNALLING OR CALLING SYSTEMS; ORDER TELEGRAPHS; ALARM SYSTEMS
G08G	II	TRAFFIC CONTROL SYSTEMS
G09B	II	EDUCATIONAL OR DEMONSTRATION APPLIANCES; APPLIANCES FOR TEACHING, OR COMMUNICATING WITH, THE BLIND, DEAF OR MUTE; MODELS; PLANETARIA; GLOBES; MAPS; DIAGRAMS
G09C	II	CIPHERING OR DECIPHERING APPARATUS FOR CRYPTOGRAPHIC OR OTHER PURPOSES INVOLVING THE NEED FOR SECRECY
G09D	II	RAILWAY OR LIKE TIME OR FARE TABLES; PERPETUAL CALENDARS
G12B	II	CONSTRUCTIONAL DETAILS OF INSTRUMENTS, OR COMPARABLE DETAILS OF OTHER APPARATUS, NOT OTHERWISE PROVIDED FOR
G99Z	II	SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION [2006.01]
H01S	II	DEVICES USING THE PROCESS OF LIGHT AMPLIFICATION BY STIMULATED EMISSION OF RADIATION [LASER] TO AMPLIFY OR GENERATE LIGHT; DEVICES USING STIMULATED EMISSION OF ELECTROMAGNETIC RADIATION IN WAVE RANGES OTHER THAN OPTICAL
H05G	II	X-RAY TECHNIQUE
A01H	III	NEW PLANTS OR PROCESSES FOR OBTAINING THEM; PLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES [5]
A01N	III	PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF
A01P	III	BIOCIDAL, PEST REPELLANT, PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS
A21D	III	TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH FOR BAKING, e.g. BY ADDITION OF MATERIALS; BAKING; BAKERY PRODUCTS; PRESERVATION THEREOF
A23B	III	PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS; CHEMICAL RIPENING OF FRUIT OR VEGETABLES; THE PRESERVED, RIPENED, OR CANNED PRODUCTS
A23C	III	DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE; MILK OR CHEESE SUBSTITUTES; MAKING THEREOF
A23D	III	EDIBLE OILS OR FATS, e.g. MARGARINES, SHORTENINGS, COOKING OILS
A23F	III	COFFEE; TEA; THEIR SUBSTITUTES; MANUFACTURE, PREPARATION, OR INFUSION THEREOF
A23G	III	COCOA; COCOA PRODUCTS, e.g. CHOCOLATE; SUBSTITUTES FOR COCOA OR COCOA PRODUCTS; CONFECTIONERY; CHEWING GUM; ICE-CREAM; PREPARATION THEREOF [2006.01]
A23J	III	PROTEIN COMPOSITIONS FOR FOODSTUFFS; WORKING-UP PROTEINS FOR FOODSTUFFS; PHOSPHATIDE COMPOSITIONS FOR FOODSTUFFS
A23K	III	FEEDING-STUFFS SPECIALLY ADAPTED FOR ANIMALS; METHODS SPECIALLY ADAPTED FOR PRODUCTION THEREOF
A23L	III	FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A21D OR A23B-A23J; THEIR PREPARATION OR TREATMENT, e.g. COOKING, MODIFICATION OF NUTRITIVE QUALITIES, PHYSICAL TREATMENT; PRESERVATION OF FOODS OR FOODSTUFFS, IN GENERAL
A61K	III	PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES
A61P	III	SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS
A61Q	III	SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS [2006.01]
A62C	III	FIRE-FIGHTING
A62D	III	CHEMICAL MEANS FOR EXTINGUISHING FIRES; PROCESSES FOR MAKING HARMFUL CHEMICAL SUBSTANCES HARMLESS, OR LESS HARMFUL, BY EFFECTING A CHEMICAL CHANGE; COMPOSITION OF MATERIALS FOR COVERINGS OR CLOTHING FOR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS; COMPOSITION OF MATERIALS FOR TRANSPARENT PARTS OF GAS-MASKS, RESPIRATORS, BREATHING BAGS OR HELMETS; COMPOSITION OF CHEMICAL MATERIALS FOR USE IN BREATHING APPARATUS
B01	III	PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
B02C	III	CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL; MILLING GRAIN
B03	III	SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS; MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS
B04	III	CENTRIFUGAL APPARATUS OR MACHINES FOR CARRYING-OUT PHYSICAL OR CHEMICAL PROCESSES
B05B	III	SPRAYING APPARATUS; ATOMISING APPARATUS; NOZZLES
B05C	III	APPARATUS FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL
B05D	III	ROCESSES FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL
B06B	III	GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL
B07	III	SEPARATING SOLIDS FROM SOLIDS; SORTING
B08	III	CLEANING
B09	III	DISPOSAL OF SOLID WASTE; RECLAMATION OF CONTAMINATED SOIL
B22	III	CASTING; POWDER METALLURGY
B32	III	LAYERED PRODUCTS
B65F	III	GATHERING OR REMOVAL OF DOMESTIC OR LIKE REFUSE
B81	III	MICROSTRUCTURAL TECHNOLOGY
B82	III	NANOTECHNOLOGY
C	III	CHEMISTRY; METALLURGY
C02	III	TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE
C14C	III	TREATING SKINS, HIDES OR LEATHER WITH CHEMICALS, ENZYMES OR MICROORGANISMS, e.g. TANNING, IMPREGNATING OR FINISHING; APPARATUS THEREFOR; COMPOSITIONS FOR TANNING
D06B	III	TREATING TEXTILE MATERIALS USING LIQUIDS, GASES OR VAPOURS
D06C	III	FINISHING, DRESSING, TENTERING OR STRETCHING TEXTILE FABRICS
D06L	III	DRY-CLEANING, WASHING OR BLEACHING FIBRES, FILAMENTS, THREADS, YARNS, FABRICS, FEATHERS OR MADE-UP FIBROUS GOODS; BLEACHING LEATHER OR FURS
E01F-008	III	-
F01N	III	GAS-FLOW SILENCERS OR EXHAUST APPARATUS FOR MACHINES OR ENGINES IN GENERAL; GAS-FLOW SILENCERS OR EXHAUST APPARATUS FOR INTERNAL-COMBUSTION ENGINES
F23G	III	CREMATION FURNACES; CONSUMING WASTE OR LOW GRADE FUELS BY COMBUSTION
F23J	III	REMOVAL OR TREATMENT OF COMBUSTION PRODUCTS OR COMBUSTION RESIDUES; FLUES
F25J	III	LIQUEFACTION, SOLIDIFICATION, OR SEPARATION OF GASES OR GASEOUS MIXTURES BY PRESSURE AND COLD TREATMENT
F26	III	DRYING
G01T	III	MEASUREMENT OF NUCLEAR OR X-RADIATION
H05H	III	PLASMA TECHNIQUE ; PRODUCTION OF ACCELERATED ELECTRICALLY- CHARGED PARTICLES OR OF NEUTRONS ; PRODUCTION OR ACCELERATION OF NEUTRAL MOLECULAR OR ATOMIC BEAMS
A01	IV	AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A21B	IV	BAKERS' OVENS; MACHINES OR EQUIPMENT FOR BAKING
A21C	IV	MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS; HANDLING BAKED ARTICLES MADE FROM DOUGH
A22	IV	BUTCHERING; MEAT TREATMENT; PROCESSING POULTRY OR FISH
A23N	IV	MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES, OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR; PEELING VEGETABLES OR FRUIT IN BULK; APPARATUS FOR PREPARING ANIMAL FEEDING-STUFFS
A23P	IV	SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS
A41H	IV	APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR
A43D	IV	MACHINES, TOOLS, EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEAR
A46D	IV	MANUFACTURE OF BRUSHES
B02B	IV	PREPARING GRAIN FOR MILLING; REFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACE
B21	IV	MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL; PUNCHING METAL
B23	IV	MACHINE TOOLS; METAL-WORKING NOT OTHERWISE PROVIDED FOR
B24	IV	GRINDING; POLISHING
B25B	IV	TOOLS OR BENCH DEVICES NOT OTHERWISE PROVIDED FOR, FOR FASTENING, CONNECTING, DISENGAGING, OR HOLDING
B25C	IV	HAND-HELD NAILING OR STAPLING TOOLS; MANUALLY-OPERATED PORTABLE STAPLING TOOLS
B25D	IV	PERCUSSIVE TOOLS
B25F	IV	COMBINATION OR MULTI-PURPOSE TOOLS NOT OTHERWISE PROVIDED FOR; DETAILS OR COMPONENTS OF PORTABLE POWER-DRIVEN TOOLS NOT PARTICULARLY RELATED TO THE OPERATIONS PERFORMED AND NOT OTHERWISE PROVIDED FOR
B25G	IV	HANDLES FOR HAND IMPLEMENTS
B25H	IV	WORKSHOP EQUIPMENT, e.g. FOR MARKING-OUT WORK; STORAGE MEANS FOR WORKSHOPS
B25J	IV	MANIPULATORS; CHAMBERS PROVIDED WITH MANIPULATION DEVICES
B26B	IV	HAND-HELD CUTTING TOOLS NOT OTHERWISE PROVIDED FOR
B26D	IV	CUTTING; DETAILS COMMON TO MACHINES FOR PERFORATING, PUNCHING, CUTTING-OUT, STAMPING-OUT OR SEVERING
B26F	IV	 PERFORATING; PUNCHING; CUTTING-OUT; STAMPING-OUT; SEVERING BY MEANS OTHER THAN CUTTING
B27	IV	WORKING OR PRESERVING WOOD OR SIMILAR MATERIAL; NAILING OR STAPLING MACHINES IN GENERAL
B28	IV	WORKING CEMENT, CLAY, OR STONE
B29	IV	WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL
B30	IV	 PRESSES IN GENERAL; PRESSES NOT OTHERWISE PROVIDED FOR
B31	IV	MAKING ARTICLES OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER; WORKING PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER
B41	IV	PRINTING; LINING MACHINES; TYPEWRITERS; STAMPS
B60	IV	VEHICLES IN GENERAL
B61	IV	RAILWAYS
B62	IV	LAND VEHICLES FOR TRAVELLING OTHERWISE THAN ON RAILS
B63B	IV	SHIPS OR OTHER WATERBORNE VESSELS; EQUIPMENT FOR SHIPPING
B63C	IV	LAUNCHING, HAULING-OUT, OR DRY-DOCKING OF VESSELS; LIFE-SAVING IN WATER; EQUIPMENT FOR DWELLING OR WORKING UNDER WATER; MEANS FOR SALVAGING OR SEARCHING FOR UNDERWATER OBJECTS
B63G	IV	 OFFENSIVE OR DEFENSIVE ARRANGEMENTS ON VESSELS; MINE-LAYING; MINE-SWEEPING; SUBMARINES; AIRCRAFT CARRIERS
B63H	IV	MARINE PROPULSION OR STEERING
B63J	IV	AUXILIARIES ON VESSELS
B64	IV	AIRCRAFT; AVIATION; COSMONAUTICS
B65B	IV	 MACHINES, APPARATUS OR DEVICES FOR, OR METHODS OF, PACKAGING ARTICLES OR MATERIALS; UNPACKING
B65C	IV	LABELLING OR TAGGING MACHINES, APPARATUS, OR PROCESSES
